kicnumber|teff_lamost_lasp|teff_lamost_lasp_err|logg_lamost_lasp|logg_lamost_lasp_err|feh_lamost_lasp|feh_lamost_lasp_err|Lum_gaia|E_Lum|e_Lum
10916765|6005.73|20.46|4.208|0.034|-0.098|0.019|2.3170819256099997|0.06323687007069999|0.061377701281199994
10916996|4302.63|41.9|4.697|0.069|-0.103|0.039|0.156969282249|0.00331770397223|0.0032533385241399998
10917136|5494.95|49.49|4.61|0.082|0.119|0.048|0.680163064419|0.019196259712|0.0187089413946
10917584|5491.02|31.37|4.474|0.052|0.128|0.03|0.6712470058810001|0.0277942334376|0.026798246041700002
10917770|5098.85|86.42|4.526|0.142|0.35|0.083|0.48336548163099996|0.0236853577948|0.0225037158702
10917845|4095.81|49.97|4.602|0.082|-0.205|0.048|0.229583364103|0.006385426959619999|0.006226209358770001
10917964|6259.84|23.09|4.207|0.038|0.138|0.022|2.73485845823|0.09846398044960002|0.09458558289960001
10918030|5567.28|47.08|4.55|0.078|-0.038|0.045|1.84106739988|0.0726247758|0.0696533254297
10918580|6261.15|15.64|4.2|0.025|0.085|0.014|3.47957521117|0.100508798261|0.097480809892
10918584|4603.09|39.43|4.699|0.065|-0.362|0.037|0.198031255914|0.00449105209427|0.00440343061754
10918763|6264.77|14.87|4.311|0.022|-0.061|0.012|2.0324539573099996|0.050900436174599994|0.0497644156614
10918794|5911.95|31.54|4.171|0.052|0.387|0.029|2.56594626747|0.07808668085210001|0.07559873358300001
10919411|5946.99|32.8|4.415|0.054|0.02|0.031|1.3341272148299999|0.0435253496456|0.042135756897800004
10920086|6596.0|18.55|4.13|0.03|0.102|0.017|5.22979119868|0.19524725904100002|0.18728148412999998
10920360|6000.01|18.52|4.386|0.03|-0.179|0.017|1.33572071529|0.0295656976673|0.0287118761198
10920626|5827.47|33.33|4.379|0.055|-0.03|0.031|2.47813996594|0.06880803716789999|0.06641782305999999
10920742|5916.97|29.67|4.413|0.049|-0.145|0.028|2.55823704907|0.062277446739699996|0.0608981125202
10921192|6517.66|15.57|4.203|0.025|-0.152|0.014|5.653206959319999|0.195958637082|0.18920106570700002
10921242|6039.08|89.99|4.079|0.148|-0.236|0.087|5.73347447217|0.248705819358|0.237681903842
10921306|6157.14|70.46|4.212|0.116|-0.158|0.067|4.2347145752|0.178975330054|0.171003759222
10921468|4641.91|46.51|4.679|0.077|0.098|0.044|0.245251450259|0.010917838225200002|0.010407631844299998
10921573|5646.04|29.16|4.549|0.048|0.078|0.027|0.814085051531|0.0330442716811|0.031639689523900005
10921625|5952.43|23.52|4.007|0.039|-0.143|0.022|5.56208375997|0.408883347444|0.37589818130099995
10921733|6260.98|28.54|4.344|0.047|-0.104|0.027|1.8593303157499999|0.122378655123|0.11415593330700001
10921964|5209.45|37.69|4.767|0.062|0.069|0.036|0.389937160796|0.0108299135431|0.010592802855200001
10922036|6121.9|29.22|4.167|0.048|0.063|0.028|2.56767806866|0.0956707529369|0.09205305489110001
10922101|5522.16|53.85|4.021|0.089|0.316|0.052|1.8469868031|0.0502218926769|0.0489518054642
